cycle,real_drel,ow_drel,phi
0,31.875,31.875,3.875
1,32.376,32.376,4.415199999999999
2,32.8823661,32.8823661,5.0298178799999995
3,33.3986163,33.3986164,5.710850180000005
4,33.927852200000004,33.9278522,6.4265879200000064
5,34.4700188,34.4700188,7.133526400000001
6,35.022778100000004,35.0227782,7.806980820000003
7,35.5827018,35.5827018,8.434075960000005
8,36.145995799999994,36.1459958,9.009429419999996
9,36.708961599999995,36.7089616,9.533236379999995
10,37.2683285,37.2683285,10.009772000000002
11,37.8214038,37.8214038,10.444262679999998
12,38.366011799999995,38.3660118,10.841015979999998
13,38.900399199999995,38.9003991,11.203586419999997
14,39.423159,39.423159,11.534912040000002
15,39.93316730000001,39.9331673,11.837426340000007
16,40.4295319,40.4295319,12.113149120000003
17,40.91155,40.91155,12.36376178
18,41.378673600000006,41.3786736,12.59066806000001
19,41.83048159999999,41.8304816,12.795044819999994
20,42.26665620000001,42.2666562,12.977882420000011
21,42.6869641,42.6869641,13.140018419999997
22,43.09124119999999,43.0912412,13.282165539999994
23,43.479379200000004,43.4793792,13.404932980000009
24,43.851315899999996,43.8513159,13.5088464
25,44.2070262,44.2070262,13.594361740000004
26,44.546515299999996,44.5465153,13.661877740000001
27,44.8698127,44.8698127,13.711746600000001
28,45.176967700000006,45.1769677,13.744281380000007
29,45.46804560000001,45.4680456,13.759763540000012
30,45.7431242,45.7431242,13.758447700000001
31,46.002291400000004,46.0022914,13.740566800000003
32,46.24564310000001,46.2456431,13.706335040000013
33,46.4732812,46.4732811,13.655951480000006
34,46.685320899999994,46.6853209,13.58994852
35,46.8819371,46.8819371,13.509889999999999
36,47.06343700000001,47.063437,13.41833222000001
37,47.230296800000005,47.2302968,13.318214120000007
38,47.38316300000001,47.3831629,13.212490660000014
39,47.52283269999998,47.5228326,13.103919639999987
40,47.650226399999994,47.6502264,12.994948819999998
41,47.766355399999995,47.7663553,12.88766484
42,47.872289899999984,47.8722899,12.783780919999991
43,47.9691301,47.9691301,12.684649260000008
44,48.0579793,48.0579793,12.591285800000001
45,48.13992209999999,48.1399221,12.504404699999995
46,48.216005899999985,48.2160059,12.424454019999985
47,48.2872266,48.2872265,12.351654339999996
48,48.354517099999995,48.3545172,12.286033739999993
49,48.41874060000001,48.4187406,12.22746380000001
50,48.480684600000004,48.4806846,12.175689720000001
51,48.54105890000001,48.5410589,12.130359540000008
52,48.6004952,48.6004953,12.091049640000001
53,48.65954819999999,48.6595482,12.05728641999999
54,48.71869770000001,48.7186978,12.028565620000009
55,48.778353100000004,48.7783531,12.00436872000001
56,48.83885670000001,48.8388567,11.98417562000001
57,48.90048920000001,48.9004892,11.967476160000011
58,48.9634748,48.9634748,11.953778720000003
59,49.02798660000002,49.0279865,11.942617020000021
60,49.0941517,49.0941517,11.933554379999997
61,49.162057000000004,49.162057,11.926187840000004
62,49.23175409999999,49.231754,11.920149839999993
63,49.303263999999984,49.303264,11.915109279999989
64,49.3765822,49.3765822,11.910771440000005
65,49.45168240000001,49.4516824,11.906877340000008
66,49.5285207,49.5285207,11.903202620000002
67,49.60703890000002,49.6070389,11.899555100000022
68,49.687168000000014,49.687168,11.895773800000015
69,49.768830399999985,49.7688305,11.891725259999987
70,49.851943199999994,49.8519431,11.887302639999994
71,49.93641890000001,49.9364189,11.882421520000008
72,50.0221688,50.0221688,11.877018960000001
73,50.1091031,50.1091031,11.871049679999999
74,50.19713279999999,50.1971328,11.864484599999997
75,50.286170700000014,50.2861706,11.857308200000013
76,50.376131500000014,50.3761315,11.849516380000019
77,50.466933299999994,50.4669334,11.841114879999992
78,50.55849719999998,50.5584972,11.832116919999983
79,50.6507479,50.6507479,11.822542259999999
80,50.7436137,50.7436136,11.812414959999998
81,50.8370266,50.8370265,11.801762920000002
82,50.930922099999975,50.9309221,11.790615999999979
83,51.025239699999986,51.0252397,11.779006239999987
84,51.119921600000026,51.1199216,11.76696572000003
85,51.21491350000002,51.2149135,11.75452652000002
86,51.31016379999997,51.3101638,11.74172047999997
87,51.4056238,51.4056237,11.728578420000005
88,51.50124710000003,51.5012471,11.715145920000033
89,51.596995100000015,51.5969951,11.70162154000002
90,51.69285070000001,51.6928507,11.688423440000008
91,51.78882829999998,51.7888283,11.676104459999976
92,51.884979800000025,51.8849798,11.665290220000031
93,51.98139429999998,51.9813943,11.65663345999998
94,52.07819690000002,52.0781969,11.650782320000026
95,52.17554480000001,52.1755448,11.648358800000011
96,52.273623199999975,52.2736231,11.649943879999974
97,52.372639400000025,52.3726394,11.65606924000003
98,52.47281859999998,52.4728186,11.667212639999988
99,52.57439839999998,52.5743984,11.68379633999998
100,52.67762429999999,52.6776243,11.706187499999992
101,52.78274540000001,52.7827454,11.734700740000015
102,52.89001059999998,52.8900106,11.769600079999982
103,52.99966539999997,52.9996654,11.811103579999973
104,53.111949100000004,53.111949,11.859386420000007
105,53.22709200000003,53.227092,11.914584540000028
